"title","publishedAt","video_id","videos_stats","viewCount","likes","dislikes","name"
"Amargurado / Sem Você / Ainda Ontem Chorei De Saudade","2011-05-06","EAMs28qRbRY","list(id = ""EAMs28qRbRY"", viewCount = ""5082217"", likeCount = ""10435"", dislikeCount = ""578"", favoriteCount = ""0"", commentCount = ""455"")","5082217","10435","578","Paula Fernandes"
"Paula Fernandes - Isso É Amar Você","2011-02-14","Ki1im052Rdw","list(id = ""Ki1im052Rdw"", viewCount = ""3643502"", likeCount = ""4806"", dislikeCount = ""199"", favoriteCount = ""0"", commentCount = ""246"")","3643502","4806","199","Paula Fernandes"
"Paula Fernandes - Debaixo Do Cacho / Apaixonado Por Você","2011-02-10","qmMjbE9maTM","list(id = ""qmMjbE9maTM"", viewCount = ""3318236"", likeCount = ""9241"", dislikeCount = ""559"", favoriteCount = ""0"", commentCount = ""629"")","3318236","9241","559","Paula Fernandes"
"Paula Fernandes - Man! I Feel Like A Woman","2011-06-01","-Lpyt864RvQ","list(id = ""-Lpyt864RvQ"", viewCount = ""2995485"", likeCount = ""7120"", dislikeCount = ""507"", favoriteCount = ""0"", commentCount = ""923"")","2995485","7120","507","Paula Fernandes"
"Taylor Swift, Paula Fernandes - Long Live","2012-01-30","1etzkcAo6WA","list(id = ""1etzkcAo6WA"", viewCount = ""12065621"", likeCount = ""97428"", dislikeCount = ""2727"", favoriteCount = ""0"", commentCount = ""8706"")","12065621","97428","2727","Paula Fernandes"
"Paula Fernandes - Cuidar Mais De Mim","2012-12-13","wlyIzYc1f3E","list(id = ""wlyIzYc1f3E"", viewCount = ""5825612"", likeCount = ""27141"", dislikeCount = ""976"", favoriteCount = ""0"", commentCount = ""1379"")","5825612","27141","976","Paula Fernandes"
"Paula Fernandes - Eu Sem Você","2012-05-23","-ypIzdy1Bkc","list(id = ""-ypIzdy1Bkc"", viewCount = ""68202787"", likeCount = ""304901"", dislikeCount = ""18401"", favoriteCount = ""0"", commentCount = ""16214"")","68202787","304901","18401","Paula Fernandes"
"Paula Fernandes - Quem É","2013-10-21","1NOifmNWv98","list(id = ""1NOifmNWv98"", viewCount = ""6413743"", likeCount = ""26132"", dislikeCount = ""1160"", favoriteCount = ""0"", commentCount = ""1165"")","6413743","26132","1160","Paula Fernandes"
"Paula Fernandes - O Que Restou De Nós","2013-10-22","QFXBNJRQJuc","list(id = ""QFXBNJRQJuc"", viewCount = ""2159862"", likeCount = ""9258"", dislikeCount = ""310"", favoriteCount = ""0"", commentCount = ""427"")","2159862","9258","310","Paula Fernandes"
"Paula Fernandes - Não Fui Eu","2013-10-21","-DZxdR2FB00","list(id = ""-DZxdR2FB00"", viewCount = ""13776806"", likeCount = ""63903"", dislikeCount = ""3091"", favoriteCount = ""0"", commentCount = ""2700"")","13776806","63903","3091","Paula Fernandes"
"Paula Fernandes - Sensações","2013-10-22","sbCJameSLRM","list(id = ""sbCJameSLRM"", viewCount = ""5714751"", likeCount = ""30650"", dislikeCount = ""1018"", favoriteCount = ""0"", commentCount = ""1070"")","5714751","30650","1018","Paula Fernandes"
"Paula Fernandes, ZeZé Di Camargo, Luciano - Coração Na Contramão","2013-10-21","zRDokn2VIe0","list(id = ""zRDokn2VIe0"", viewCount = ""2922025"", likeCount = ""6364"", dislikeCount = ""260"", favoriteCount = ""0"", commentCount = ""234"")","2922025","6364","260","Paula Fernandes"
"Paula Fernandes - Uma Canção Pra Mim","2013-10-22","TT-IGMJQz6k","list(id = ""TT-IGMJQz6k"", viewCount = ""2187326"", likeCount = ""8529"", dislikeCount = ""287"", favoriteCount = ""0"", commentCount = ""428"")","2187326","8529","287","Paula Fernandes"
"Paula Fernandes - Mistérios Do Tempo","2013-10-22","z2VFpJ-vTh0","list(id = ""z2VFpJ-vTh0"", viewCount = ""1479387"", likeCount = ""4508"", dislikeCount = ""135"", favoriteCount = ""0"", commentCount = ""247"")","1479387","4508","135","Paula Fernandes"
"Paula Fernandes - Navegar Em Mim","2013-10-22","3EwG1sHCLPU","list(id = ""3EwG1sHCLPU"", viewCount = ""1006643"", likeCount = ""3148"", dislikeCount = ""94"", favoriteCount = ""0"", commentCount = ""105"")","1006643","3148","94","Paula Fernandes"
"Paula Fernandes, Taylor Swift - Long Live","2013-10-21","mR6mYW_s-kY","list(id = ""mR6mYW_s-kY"", viewCount = ""4069767"", likeCount = ""26459"", dislikeCount = ""857"", favoriteCount = ""0"", commentCount = ""866"")","4069767","26459","857","Paula Fernandes"
